datetime,disease,solution
2025-05-02 10:46:31,sooty mould,Target the underlying aphids/whiteflies with insecticidal soap or neem oil. Wash leaves with a mild soap solution (1%) to remove fungal growth. Spray with Imidacloprid or Thiamethoxam to control sap-sucking insects. Encourage beneficial insects like ladybugs and lacewings.
2025-05-02 10:45:54,sooty mould,Target the underlying aphids/whiteflies with insecticidal soap or neem oil. Wash leaves with a mild soap solution (1%) to remove fungal growth. Spray with Imidacloprid or Thiamethoxam to control sap-sucking insects. Encourage beneficial insects like ladybugs and lacewings.
2025-04-26 12:32:38,sooty mould,Target the underlying aphids/whiteflies with insecticidal soap or neem oil. Wash leaves with a mild soap solution (1%) to remove fungal growth. Spray with Imidacloprid or Thiamethoxam to control sap-sucking insects. Encourage beneficial insects like ladybugs and lacewings.
2025-04-26 12:07:13,sooty mould,Target the underlying aphids/whiteflies with insecticidal soap or neem oil. Wash leaves with a mild soap solution (1%) to remove fungal growth. Spray with Imidacloprid or Thiamethoxam to control sap-sucking insects. Encourage beneficial insects like ladybugs and lacewings.
2025-04-26 08:34:29,cutting weevil,Use Imidacloprid or Thiamethoxam to control the pest. Apply systemic insecticides as soil drenches or foliar sprays. Remove and destroy infested plant parts. Encourage natural predators like birds and beneficial insects. Apply neem oil or pyrethrum as organic alternatives.
2025-04-26 08:28:38,sooty mould,Target the underlying aphids/whiteflies with insecticidal soap or neem oil. Wash leaves with a mild soap solution (1%) to remove fungal growth. Spray with Imidacloprid or Thiamethoxam to control sap-sucking insects. Encourage beneficial insects like ladybugs and lacewings.
2025-04-26 08:26:35,sooty mould,Target the underlying aphids/whiteflies with insecticidal soap or neem oil. Wash leaves with a mild soap solution (1%) to remove fungal growth. Spray with Imidacloprid or Thiamethoxam to control sap-sucking insects. Encourage beneficial insects like ladybugs and lacewings.
2025-04-24 17:01:44,bacterial canker,"Apply copper fungicides like Blitox-50 or Bordeaux Mixture (1%) at 15-day intervals during humid weather. Prune and burn infected branches. Maintain proper tree spacing and avoid overhead irrigation. For severe cases, spray with Streptocycline (100 ppm) mixed with copper oxychloride."
2025-04-24 17:00:41,bacterial canker,"Apply copper fungicides like Blitox-50 or Bordeaux Mixture (1%) at 15-day intervals during humid weather. Prune and burn infected branches. Maintain proper tree spacing and avoid overhead irrigation. For severe cases, spray with Streptocycline (100 ppm) mixed with copper oxychloride."
2025-04-23 20:24:47,sooty mould,Target aphids/whiteflies and wash leaves with soap solution.
2025-04-23 19:51:52,sooty mould,Target aphids/whiteflies and wash leaves with soap solution.
2025-04-21 21:23:06,gall midge,Use Neem oil spray or Lambda-cyhalothrin.
2025-04-21 20:50:49,cutting weevil,Use Imidacloprid or Thiamethoxam to control the pest.
2025-04-18 14:40:02,powdery mildew,Use Sulfur WP or potassium bicarbonate.
2025-04-18 14:39:50,sooty mould,Target aphids/whiteflies and wash leaves with soap solution.
2025-04-18 14:39:29,sooty mould,Target aphids/whiteflies and wash leaves with soap solution.
2025-04-10 22:21:45,sooty mould,Target aphids/whiteflies and wash leaves with soap solution.
2025-04-10 22:21:32,sooty mould,Target aphids/whiteflies and wash leaves with soap solution.
2025-04-09 15:25:25,gall midge,Use Neem oil spray or Lambda-cyhalothrin.
2025-04-09 15:25:14,gall midge,Use Neem oil spray or Lambda-cyhalothrin.
2025-04-09 15:21:50,gall midge,Use Neem oil spray or Lambda-cyhalothrin.
2025-04-09 14:57:28,powdery mildew,Use Sulfur WP or potassium bicarbonate.
2025-04-09 14:57:15,healthy,No disease detected. Maintain regular neem oil spraying and compost.
2025-04-09 14:57:03,powdery mildew,Use Sulfur WP or potassium bicarbonate.
2025-04-09 14:56:46,healthy,No disease detected. Maintain regular neem oil spraying and compost.
